LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
LM460,M40 between M40 J13 and M40 J12 (LM460),M40 J13,M40 J12,430534,260412,437262,254918
LM461,M40 between M40 J13 and M40 J14 (LM461),M40 J13,M40 J14,430537,260388,428027,262170
LM462,M40 between M40 J14 and M40 J13 (LM462),M40 J14,M40 J13,428000,262199,430534,260412
LM463,M40 between M40 J14 and M40 J15 (LM463),M40 J14,M40 J15,428027,262170,426576,262434
LM464,M40 between M40 J15 and M40 J14 (LM464),M40 J15,M40 J14,426382,262578,428000,262199
LM465,M40 between M40 J15 and M40 J16 (LM465),M40 J15,M40 J16,426576,262434,415271,270856
LM466,M40 between M40 J16 and M40 J15 (LM466),M40 J16,M40 J15,415107,270963,426382,262578
LM467,M40 between M40 J16 and M42 J3A (LM467),M40 J16,M42 J3A,415271,270856,413061,272672
LM468,M40 between M42 J3A and M40 J16 (LM468),M42 J3A,M40 J16,413133,272855,415107,270963
LM469,M40 between M40 J1 and M40 J1A (LM469),M40 J1,M40 J1A,504845,185715,501928,185655
LM47,A1(M) between A1(M) J62 and A1(M) J61 (LM47),A1(M) J62,A1(M) J61,430447,544465,431027,537424
LM470,M40 between M40 J1A and M40 J1 (LM470),M40 J1A,M40 J1,501891,185686,504842,185734
LM471,M40 between M40 J1A and M40 J2 (LM471),M40 J1A,M40 J2,501928,185655,495212,189246
LM472,M40 between M40 J2 and M40 J1A (LM472),M40 J2,M40 J1A,495110,189312,501891,185686
LM473,M40 between M40 J2 and M40 J3 (LM473),M40 J2,M40 J3,495212,189246,490921,190110
LM474,M40 between M40 J3 and M40 J2 (LM474),M40 J3,M40 J2,490721,190196,495110,189312
LM475,M40 between M40 J3 and M40 J4 (LM475),M40 J3,M40 J4,490921,190110,485429,191109
LM476,M40 between M40 J4 and M40 J3 (LM476),M40 J4,M40 J3,485311,191092,490721,190196
LM477,M40 between M40 J4 and M40 J5 (LM477),M40 J4,M40 J5,485429,191109,475291,196306
LM478,M40 between M40 J5 and M40 J4 (LM478),M40 J5,M40 J4,475298,196323,485311,191092
LM479,M40 between M40 J5 and M40 J6 (LM479),M40 J5,M40 J6,475291,196306,471847,197836
LM48,A1(M) between A1(M) J62 and A1(M) J63 (LM48),A1(M) J62,A1(M) J63,430394,544353,428084,552368
LM480,M40 between M40 J6 and M40 J5 (LM480),M40 J6,M40 J5,471864,197848,475298,196323
LM481,M40 between M40 J6 and M40 J7 (LM481),M40 J6,M40 J7,471847,197836,465526,203123
LM482,M40 between M40 J7 and M40 J6 (LM482),M40 J7,M40 J6,465537,203139,471864,197848
LM483,M40 between M40 J7 and M40 J8 (LM483),M40 J7,M40 J8,465526,203123,463891,204109
LM484,M40 between M40 J8 and M40 J7 (LM484),M40 J8,M40 J7,464059,204054,465537,203139
LM485,M40 between M40 J8 and A40 (LM485),M40 J8,A40,463891,204109,461735,205038
LM486,M40 between A40 and M40 J8 (LM486),A40,M40 J8,461743,205047,464059,204054
LM487,M40 between M40 J8 and M40 J8A (LM487),M40 J8,M40 J8A,463891,204109,462547,204975
LM488,M40 between M40 J8A and M40 J8 (LM488),M40 J8A,M40 J8,462565,204978,464059,204054
LM489,M40 between M40 J9 and M40 J10 (LM489),M40 J9,M40 J10,455307,219149,454727,228028
LM49,A1(M) between A1(M) J63 and A1(M) J62 (LM49),A1(M) J63,A1(M) J62,428033,552496,430447,544465
LM490,M40 between M40 J10 and M40 J9 (LM490),M40 J10,M40 J9,454316,228812,455261,219272
LM491,M40 between M40 J8A and M40 J9 (LM491),M40 J8A,M40 J9,462547,204975,455307,219149
LM492,M40 between M40 J9 and M40 J8A (LM492),M40 J9,M40 J8A,455261,219272,462565,204978
LM493,M42 between M42 J11 and M42 J10 (LM493),M42 J11,M42 J10,430734,310772,424443,300763
LM494,M42 between M42 J10 and M42 J11 (LM494),M42 J10,M42 J11,424298,300570,430727,310807
LM495,M42 between M42 J1 and M5 J4A (LM495),M42 J1,M5 J4A,397290,273023,395183,272500
LM496,M42 between M5 J4A and M42 J1 (LM496),M5 J4A,M42 J1,394966,272167,397277,273045
LM497,M42 between M42 J2 and M42 J1 (LM497),M42 J2,M42 J1,403632,273746,397290,273023
LM498,M42 between M42 J1 and M42 J2 (LM498),M42 J1,M42 J2,397277,273045,403523,273760
LM499,M42 between M42 J4 and M42 J3A (LM499),M42 J4,M42 J3A,414663,275821,413133,272855
LM5,A1(M) between A1(M) J15 Southbound and A1(M) J15 Southbound (LM5),A1(M) J15 Southbound,A1(M) J15 Southbound,517295,284370,517697,282755
LM50,A1(M) between A1(M) J63 and A1(M) J64 (LM50),A1(M) J63,A1(M) J64,428084,552368,428355,554563
LM500,M42 between M42 J3A and M42 J4 (LM500),M42 J3A,M42 J4,413061,272672,414594,275718
LM501,M42 between M42 J3 and M42 J2 (LM501),M42 J3,M42 J2,407941,272984,403632,273746
LM502,M42 between M42 J2 and M42 J3 (LM502),M42 J2,M42 J3,403523,273760,407793,272988
LM503,M42 between M42 J3A and M42 J3 (LM503),M42 J3A,M42 J3,413133,272855,407941,272984
LM504,M42 between M42 J3 and M42 J3A (LM504),M42 J3,M42 J3A,407793,272988,413061,272672
LM505,M42 between M42 J5 and M42 J4 (LM505),M42 J5,M42 J4,417165,278610,414663,275821
LM506,M42 between M42 J4 and M42 J5 (LM506),M42 J4,M42 J5,414594,275718,417049,278576
LM507,M42 between M42 J6 and M42 J5 (LM507),M42 J6,M42 J5,419831,283063,417165,278610
LM508,M42 between M42 J5 and M42 J6 (LM508),M42 J5,M42 J6,417049,278576,419805,283048
LM509,M42 between M42 J7 and M42 J6 (LM509),M42 J7,M42 J6,419759,286657,419831,283063
LM51,A1(M) between A1(M) J64 and A1(M) J63 (LM51),A1(M) J64,A1(M) J63,428374,554571,428033,552496
LM510,M42 between M42 J6 and M42 J7 (LM510),M42 J6,M42 J7,419805,283048,419739,286644
LM511A,M42 between M42 J7a and M42 J7 (LM511A),M42 J7a,M42 J7,419168,289129,419759,286657
LM512A,M42 between M42 J7 and M42 J7a (LM512A),M42 J7,M42 J7a,419739,286644,419331,288553
LM513A,M42 between M6 J4A and M42 J8 (LM513A),M6 J4A,M42 J8,417352,290177,418346,290107
LM514,M42 between M42 J8 and M6 J4A (LM514),M42 J8,M6 J4A,418723,290327,417169,290342
LM515,M42 between M42 J10 and M42 J9 (LM515),M42 J10,M42 J9,424443,300763,418720,293572
LM516,M42 between M42 J9 and M42 J10 (LM516),M42 J9,M42 J10,418606,293355,424298,300570
LM517,M42 between M42 J9 and M42 J8 (LM517),M42 J9,M42 J8,418720,293572,418723,290327
LM518A,M42 between M42 J8 and M42 J9S (LM518A),M42 J8,M42 J9S,418754,290006,418431,292340
LM519,M45 between M45 J1 and A45 (LM519),M45 J1,A45,448761,270766,446551,271447
LM52,A1(M) between A1(M) J64 and A1(M) J65 (LM52),A1(M) J64,A1(M) J65,428355,554563,428325,556240
LM520,M45 between A45 and M45 J1 (LM520),A45,M45 J1,446547,271512,448728,270786
LM521,M45 between M1 J17 and M45 J1 (LM521),M1 J17,M45 J1,458619,270013,448761,270766
LM522,M45 between M45 J1 and M1 J17 (LM522),M45 J1,M1 J17,448728,270786,458810,269750
LM523,M48 between M4 J21 and M48 J1 (LM523),M4 J21,M48 J1,360127,185747,356990,189545
LM524,M48 between M48 J1 and M4 J21 (LM524),M48 J1,M4 J21,357003,189562,359903,185962
LM525,M49 between M5 J18A and M4 J22 (LM525),M5 J18A,M4 J22,353287,178324,354379,185827
LM526,M49 between M4 J22 and M5 J18A (LM526),M4 J22,M5 J18A,354469,185810,353743,178657
LM527,M4 between A4 and M4 J7 (LM527),A4,M4 J7,493451,180970,493394,180030
LM528,M4 between M4 J7 and A4 (LM528),M4 J7,A4,493388,180047,493422,180968
LM529,M4 between M25 J15 and M4 J5 (LM529),M25 J15,M4 J5,504637,178385,501357,178010
LM53,A1(M) between A1(M) J65 and A1(M) J64 (LM53),A1(M) J65,A1(M) J64,428391,556182,428374,554571
LM530,M4 between M4 J5 and M25 J15 (LM530),M4 J5,M25 J15,501158,177952,504616,178402
LM531,M4 between M4 J11 and M4 J12 (LM531),M4 J11,M4 J12,471645,168633,465083,171489
LM532,M4 between M4 J12 and M4 J11 (LM532),M4 J12,M4 J11,465003,171579,471518,168689
LM533,M4 between M4 J12 and M4 J13 (LM533),M4 J12,M4 J13,465083,171489,448107,172864
LM534,M4 between M4 J13 and M4 J12 (LM534),M4 J13,M4 J12,447953,172866,465003,171579
LM535,M4 between M4 J13 and M4 J14 (LM535),M4 J13,M4 J14,448107,172864,436099,172762
LM536,M4 between M4 J14 and M4 J13 (LM536),M4 J14,M4 J13,435996,172827,447953,172866
LM537,M4 between M4 J14 and M4 J15 (LM537),M4 J14,M4 J15,436099,172762,419257,180895
LM538,M4 between M4 J15 and M4 J14 (LM538),M4 J15,M4 J14,419126,180936,435996,172827
LM539,M4 between M4 J15 and M4 J16 (LM539),M4 J15,M4 J16,419257,180895,410294,182903
LM54,A1(M) between A1(M) J6 and A1(M) J7 (LM54),A1(M) J6,A1(M) J7,523181,215234,523609,222279
LM540,M4 between M4 J16 and M4 J15 (LM540),M4 J16,M4 J15,410182,182976,419126,180936
LM541,M4 between M4 J16 and M4 J17 (LM541),M4 J16,M4 J17,410294,182903,391717,179568
LM542,M4 between M4 J17 and M4 J16 (LM542),M4 J17,M4 J16,391586,179577,410182,182976
LM543,M4 between M4 J17 and M4 J18 (LM543),M4 J17,M4 J18,391717,179568,375880,178152
LM544,M4 between M4 J18 and M4 J17 (LM544),M4 J18,M4 J17,375756,178177,391586,179577
LM545,M4 between M4 J18 and M4 J19 (LM545),M4 J18,M4 J19,375880,178152,364174,179373
LM546,M4 between M4 J19 and M4 J18 (LM546),M4 J19,M4 J18,364146,179492,375756,178177
LM547,M4 between M4 J10 and M4 J11 (LM547),M4 J10,M4 J11,479718,170870,471645,168633
LM548,M4 between M4 J11 and M4 J10 (LM548),M4 J11,M4 J10,471518,168689,479683,170865
LM549,M4 between M4 J19 and M4 J20 (LM549),M4 J19,M4 J20,364174,179373,361791,183747
LM55,A1(M) between A1(M) J7 and A1(M) J6 (LM55),A1(M) J7,A1(M) J6,523439,222764,523492,215990
LM550,M4 between M4 J20 and M4 J19 (LM550),M4 J20,M4 J19,361799,183766,364146,179492
LM551,M4 between M4 J20 and M4 J21 (LM551),M4 J20,M4 J21,361791,183747,360127,185747
LM552,M4 between M4 J21 and M4 J20 (LM552),M4 J21,M4 J20,359903,185962,361799,183766
LM553,M4 between M4 J22 and M4 J21 (LM553),M4 J22,M4 J21,354379,185827,359903,185962
LM554,M4 between M4 J1 and M4 J2 (LM554),M4 J1,M4 J2,519686,178124,518574,178309
LM555,M4 between M4 J2 and M4 J1 (LM555),M4 J2,M4 J1,518576,178319,519644,178159
LM556,M4 between M4 J2 and M4 J3 (LM556),M4 J2,M4 J3,518574,178309,510513,178222
LM557,M4 between M4 J3 and M4 J2 (LM557),M4 J3,M4 J2,510399,178254,518576,178319
LM558,M4 between M4 J4A and M4 J4 (LM558),M4 J4A,M4 J4,507504,177029,507403,178545
LM559,M4 between M4 J4 and M4 J4A (LM559),M4 J4,M4 J4A,507525,178538,507553,177030
LM56,A1(M) between A1(M) J7 and A1(M) J8 (LM56),A1(M) J7,A1(M) J8,523609,222279,522408,226694
LM560,M4 between M4 J4 and M25 J15 (LM560),M4 J4,M25 J15,507525,178538,504637,178385
LM561,M4 between M25 J15 and M4 J4 (LM561),M25 J15,M4 J4,504616,178402,507403,178563
LM562,M4 between M4 J3 and M4 J4 (LM562),M4 J3,M4 J4,510513,178222,507525,178538
LM563,M4 between M4 J4 and M4 J3 (LM563),M4 J4,M4 J3,507403,178563,510399,178254
LM564,M4 between M4 J5 and M4 J6 (LM564),M4 J5,M4 J6,501357,178010,496184,179121
LM565,M4 between M4 J6 and M4 J5 (LM565),M4 J6,M4 J5,496075,179171,501158,177952
LM566,M4 between M4 J6 and M4 J7 (LM566),M4 J6,M4 J7,496184,179121,493394,180030
LM567,M4 between M4 J7 and M4 J6 (LM567),M4 J7,M4 J6,493388,180047,496075,179171
LM568,M4 between M4 J7 and M4 J8 (LM568),M4 J7,M4 J8,493394,180030,488758,178569
LM569,M4 between M4 J8 and M4 J7 (LM569),M4 J8,M4 J7,488597,178539,493388,180047
LM57,A1(M) between A1(M) J8 and A1(M) J7 (LM57),A1(M) J8,A1(M) J7,522652,227540,523439,222764
LM570,M4 between M4 J8 and M4 J10 (LM570),M4 J8,M4 J10,488758,178569,479718,170870
LM571,M4 between M4 J10 and M4 J8 (LM571),M4 J10,M4 J8,479683,170865,488597,178539
LM572,M50 between M50 J1 and M5 J8 (LM572),M50 J1,M5 J8,388660,237383,390774,238923
LM573,M50 between M5 J8 and M50 J1 (LM573),M5 J8,M50 J1,390825,238728,388928,237454
LM574,M50 between M50 J2 and M50 J1 (LM574),M50 J2,M50 J1,375389,233210,388660,237383
LM575,M50 between M50 J1 and M50 J2 (LM575),M50 J1,M50 J2,388928,237454,375387,233195
LM576,M50 between M50 J3 and M50 J2 (LM576),M50 J3,M50 J2,366709,226183,375389,233210
LM577,M50 between M50 J2 and M50 J3 (LM577),M50 J2,M50 J3,375387,233195,366789,226218
LM578,M50 between M50 J4 and M50 J3 (LM578),M50 J4,M50 J3,361394,225881,366709,226183
LM579,M50 between M50 J3 and M50 J4 (LM579),M50 J3,M50 J4,366789,226218,361466,225863
LM58,A1(M) between A1(M) J8 and A1(M) J9 (LM58),A1(M) J8,A1(M) J9,522408,226694,523790,231352
LM580,M53 between M53 J2 and A551 (LM580),M53 J2,A551,327726,390072,326364,389028
LM581,M53 between A551 and M53 J2 (LM581),A551,M53 J2,326360,389057,327695,389778
LM582,M53 between M53 J11 and M53 J10 (LM582),M53 J11,M53 J10,341872,372981,341657,374237
LM583,M53 between M53 J10 and M53 J11 (LM583),M53 J10,M53 J11,341631,374371,341883,372993
LM584,M53 between M53 J10 and M53 J9 (LM584),M53 J10,M53 J9,341657,374237,340630,376907
LM585,M53 between M53 J9 and M53 J10 (LM585),M53 J9,M53 J10,340531,377000,341631,374371
LM586,M53 between M53 J12 and M53 J11 (LM586),M53 J12,M53 J11,343463,368364,341872,372981
LM587,M53 between M53 J11 and M53 J12 (LM587),M53 J11,M53 J12,341883,372993,343491,368356
LM588,M53 between M53 J2 and M53 J1 (LM588),M53 J2,M53 J1,327695,389778,328966,391493
LM589,M53 between M53 J1 and M53 J2 (LM589),M53 J1,M53 J2,329014,391439,327726,390072
LM59,A1(M) between A1(M) J9 and A1(M) J8 (LM59),A1(M) J9,A1(M) J8,523804,231343,522652,227540
LM590,M53 between M53 J3 and M53 J2 (LM590),M53 J3,M53 J2,328826,386232,327695,389778
LM591,M53 between M53 J2 and M53 J3 (LM591),M53 J2,M53 J3,327726,390072,328820,386594
LM592,M53 between M53 J4 and M53 J3 (LM592),M53 J4,M53 J3,332103,382814,328826,386232
LM593,M53 between M53 J3 and M53 J4 (LM593),M53 J3,M53 J4,328820,386594,332013,382938
LM594,M53 between M53 J5 and M53 J4 (LM594),M53 J5,M53 J4,336193,379044,332103,382814
LM595,M53 between M53 J4 and M53 J5 (LM595),M53 J4,M53 J5,332013,382938,336059,379037
LM596,M53 between M53 J6 and M53 J5 (LM596),M53 J6,M53 J5,336878,378876,336193,379044
LM597,M53 between M53 J5 and M53 J6 (LM597),M53 J5,M53 J6,336059,379037,336743,378969
LM598,M53 between M53 J7 and M53 J6 (LM598),M53 J7,M53 J6,338692,378223,336878,378876
LM599,M53 between M53 J6 and M53 J7 (LM599),M53 J6,M53 J7,336743,378969,338578,378198
LM6,A1(M) between A1(M) J15 and A1(M) J16 (LM6),A1(M) J15,A1(M) J16,517272,284365,515930,290694
LM60,A1(M) between A1(M) J9 and A1(M) J10 (LM60),A1(M) J9,A1(M) J10,523790,231352,523160,236842
LM600,M53 between M53 J8 and M53 J7 (LM600),M53 J8,M53 J7,339764,377650,338692,378223
LM601,M53 between M53 J7 and M53 J8 (LM601),M53 J7,M53 J8,338578,378198,339701,377741
LM602,M53 between M53 J9 and M53 J8 (LM602),M53 J9,M53 J8,340630,376907,339764,377650
LM603,M53 between M53 J8 and M53 J9 (LM603),M53 J8,M53 J9,339701,377741,340531,377000
LM604,M54 between M54 J1 and M54 J2 (LM604),M54 J1,M54 J2,394305,304663,391660,304486
LM605,M54 between M54 J2 and M54 J1 (LM605),M54 J2,M54 J1,391493,304496,394079,304695
LM606,M54 between M54 J2 and M54 J3 (LM606),M54 J2,M54 J3,391660,304486,379909,306774
LM607,M54 between M54 J3 and M54 J2 (LM607),M54 J3,M54 J2,379751,306809,391493,304496
LM608,M54 between M54 J3 and M54 J4 (LM608),M54 J3,M54 J4,379909,306774,372675,309140
LM609,M54 between M54 J4 and M54 J3 (LM609),M54 J4,M54 J3,372540,309180,379751,306809
LM61,A1(M) between A1(M) J10 and A1(M) J9 (LM61),A1(M) J10,A1(M) J9,523192,236833,523804,231343
LM610,M54 between M54 J4 and M54 J5 (LM610),M54 J4,M54 J5,372675,309140,369411,309767
LM611,M54 between M54 J5 and M54 J4 (LM611),M54 J5,M54 J4,369524,309735,372540,309180
LM612,M54 between M54 J5 and M54 J6 (LM612),M54 J5,M54 J6,369411,309767,367159,310185
LM613,M54 between M54 J6 and M54 J5 (LM613),M54 J6,M54 J5,366963,310206,369524,309735
LM614,M54 between M54 J6 and M54 J7 (LM614),M54 J6,M54 J7,367159,310185,363138,310549
LM615,M54 between M54 J7 and M54 J6 (LM615),M54 J7,M54 J6,363143,310568,366963,310206
LM616,M54 between M6 J10A and M54 J1 (LM616),M6 J10A,M54 J1,396831,303503,394305,304663
LM617,M54 between M54 J1 and M6 J10A (LM617),M54 J1,M6 J10A,394079,304695,396811,303588
LM618,M55 between M55 J1 and M55 J3 (LM618),M55 J1,M55 J3,352934,434078,341566,434875
LM619,M55 between M55 J3 and M55 J1 (LM619),M55 J3,M55 J1,341449,434899,352850,434074
LM62,A14(M) between A14 and A1(M) J14 (LM62),A14,A1(M) J14,519888,276010,518646,277834
LM620A,M55 between M55 J3 and M55 J4 (LM620A),M55 J3,M55 J4,341566,434875,335324,433507
LM621A,M55 between M55 J4 and M55 J3 (LM621A),M55 J4,M55 J3,335323,433520,341449,434899
LM622,M55 between M6 J32 and M55 J1 (LM622),M6 J32,M55 J1,354252,434537,352934,434078
LM623,M55 between M55 J1 and M6 J32 (LM623),M55 J1,M6 J32,352850,434074,354174,434707
LM624,M56 between M56 J10 and M56 J11 (LM624),M56 J10,M56 J11,362124,382132,357317,381334
LM625,M56 between M56 J11 and M56 J10 (LM625),M56 J11,M56 J10,357175,381291,361983,382115
LM626,M56 between M56 J11 and M56 J12 (LM626),M56 J11,M56 J12,357317,381334,353134,379577
LM627,M56 between M56 J12 and M56 J11 (LM627),M56 J12,M56 J11,353057,379554,357175,381291
LM628,M56 between M56 J14 and M56 J15 (LM628),M56 J14,M56 J15,346556,374701,341889,372977
LM629,M56 between M56 J15 and M56 J14 (LM629),M56 J15,M56 J14,341866,372998,346447,374667
LM63,A14(M) between A1(M) J14 and A14 (LM63),A1(M) J14,A14,518803,277260,519907,276006
LM630A,M56 between M56 J15 and M56 J16 (LM630A),M56 J15,M56 J16,341889,372977,338014,372291
LM631A,M56 between M56 J16 and M56 J15 (LM631A),M56 J16,M56 J15,338027,372306,341866,372998
LM632,M56 between M56 J12 and M56 J14 (LM632),M56 J12,M56 J14,353134,379577,346556,374701
LM633,M56 between M56 J14 and M56 J12 (LM633),M56 J14,M56 J12,346447,374667,353057,379554
LM634,M56 between M56 J1 and M56 J2 (LM634),M56 J1,M56 J2,384808,389087,383320,388783
LM635,M56 between M56 J2 and M56 J1 (LM635),M56 J2,M56 J1,383305,388801,384294,389158
LM636,M56 between M56 J3A and M56 J3 (LM636),M56 J3A,M56 J3,382260,389447,382105,388560
LM637,M56 between M56 J3 and M56 J3A (LM637),M56 J3,M56 J3A,382029,388482,382241,389452
LM638,M56 between M56 J2 and M56 J3 (LM638),M56 J2,M56 J3,383320,388783,382105,388560
LM639,M56 between M56 J3 and M56 J2 (LM639),M56 J3,M56 J2,382029,388482,383305,388801
LM64,A1(M) between A1(M) J14 and A1 (LM64),A1(M) J14,A1,518803,277260,518930,275088
LM640,M56 between M56 J3 and M56 J4 (LM640),M56 J3,M56 J4,382105,388560,381716,387505
LM641,M56 between M56 J4 and M56 J3 (LM641),M56 J4,M56 J3,381720,387581,382029,388482
LM642,M56 between M56 J4 and M56 J5 (LM642),M56 J4,M56 J5,381716,387505,380781,386173
LM643,M56 between M56 J5 and M56 J4 (LM643),M56 J5,M56 J4,380770,386187,381720,387581
LM644,M56 between M56 J5 and M56 J6 (LM644),M56 J5,M56 J6,380781,386173,380221,384878
LM645,M56 between M56 J6 and M56 J5 (LM645),M56 J6,M56 J5,380095,384805,380770,386187
LM646,M56 between M56 J7 and A56 (LM646),M56 J7,A56,375461,384713,374420,385803
LM647,M56 between A56 and M56 J7 (LM647),A56,M56 J7,374457,385863,375251,384821
LM648,M56 between M56 J6 and M56 J7 (LM648),M56 J6,M56 J7,380221,384878,375461,384713
LM649,M56 between M56 J7 and M56 J6 (LM649),M56 J7,M56 J6,375251,384821,380095,384805
LM650,M56 between M56 J7 Westbound and M56 J7 Westbound (LM650),M56 J7 Westbound,M56 J7 Westbound,375461,384713,374067,385234
LM651,M56 between M56 J7 Eastbound and M56 J7 Eastbound (LM651),M56 J7 Eastbound,M56 J7 Eastbound,374050,385258,375251,384821
LM652,M56 between M56 J9 and M56 J10 (LM652),M56 J9,M56 J10,366632,384076,362124,382132
LM653,M56 between M56 J10 and M56 J9 (LM653),M56 J10,M56 J9,361983,382115,366603,384084
LM654,M56 between M56 J7 and M56 J9 (LM654),M56 J7,M56 J9,374067,385234,366632,384076
LM655,M56 between M56 J9 and M56 J7 (LM655),M56 J9,M56 J7,366603,384084,374050,385258
LM656,M57 between M57 J1 and M57 J2 (LM656),M57 J1,M57 J2,346337,389345,345090,392891
LM657,M57 between M57 J2 and M57 J1 (LM657),M57 J2,M57 J1,345216,392877,346343,389368
LM658,M57 between M57 J2 and M57 J3 (LM658),M57 J2,M57 J3,345090,392891,343257,393662
LM659,M57 between M57 J3 and M57 J2 (LM659),M57 J3,M57 J2,343192,393885,345216,392877
LM65B,A1(M) between A1(M) J42 and A1(M) J43 (LM65B),A1(M) J42,A1(M) J43,447388,429887,443626,436537
LM660,M57 between M57 J3 and M57 J4 (LM660),M57 J3,M57 J4,343257,393662,341871,396333
LM661,M57 between M57 J4 and M57 J3 (LM661),M57 J4,M57 J3,341725,396493,343192,393885
LM662,M57 between M57 J4 and M57 J5 (LM662),M57 J4,M57 J5,341871,396333,340954,397087
LM663,M57 between M57 J5 and M57 J4 (LM663),M57 J5,M57 J4,341139,396967,341725,396493
LM664,M57 between M57 J5 and M57 J6 (LM664),M57 J5,M57 J6,340954,397087,340298,397730
LM665,M57 between M57 J6 and M57 J5 (LM665),M57 J6,M57 J5,340237,397832,341139,396967
LM666,M57 between M57 J6 and M57 J7 (LM666),M57 J6,M57 J7,340298,397730,336966,399923
LM667,M57 between M57 J7 and M57 J6 (LM667),M57 J7,M57 J6,337007,400085,340237,397832
LM668,M58 between M58 J1 and M57 J7 (LM668),M58 J1,M57 J7,340234,402468,336966,399923
LM669,M58 between M57 J7 and M58 J1 (LM669),M57 J7,M58 J1,337047,400350,340241,402501
LM66A,A1(M) between A1(M) J44 and A1(M) J43 (LM66A),A1(M) J44,A1(M) J43,443620,435517,447400,429914
LM66B,A1(M) between A1(M) J43 and A1(M) J42 (LM66B),A1(M) J43,A1(M) J42,443620,435517,447406,429895
LM67,A194(M) between A1(M) J65 and A182 (LM67),A1(M) J65,A182,428325,556240,429147,557638
LM670,M58 between M58 J3 and M58 J1 (LM670),M58 J3,M58 J1,345338,404761,340234,402468
LM671,M58 between M58 J1 and M58 J3 (LM671),M58 J1,M58 J3,340241,402501,345210,404740
LM672,M58 between M58 J4 and M58 J3 (LM672),M58 J4,M58 J3,347845,405151,345338,404761
LM673,M58 between M58 J3 and M58 J4 (LM673),M58 J3,M58 J4,345210,404740,347744,405216
LM674,M58 between M58 J5 and M58 J4 (LM674),M58 J5,M58 J4,350754,404209,347845,405151
LM675,M58 between M58 J4 and M58 J5 (LM675),M58 J4,M58 J5,347744,405216,350787,404222
LM676,M58 between M58 J6 and M58 J5 (LM676),M58 J6,M58 J5,353782,404000,350754,404209
LM677,M58 between M58 J5 and M58 J6 (LM677),M58 J5,M58 J6,350787,404222,353819,404404
LM678,M5 between M5 J18 and A403 (LM678),M5 J18,A403,352951,178033,352071,178329
LM679,M5 between A403 and M5 J18 (LM679),A403,M5 J18,352100,178370,352941,178049
LM68,A194(M) between A182 and A1(M) J65 (LM68),A182,A1(M) J65,429220,557735,428391,556182
LM680,M5 between M5 J11 and M5 J10 (LM680),M5 J11,M5 J10,389674,221232,390454,225616
LM681,M5 between M5 J10 and M5 J11 (LM681),M5 J10,M5 J11,390478,225613,389691,221251
LM682,M5 between M5 J12 and M5 J11A (LM682),M5 J12,M5 J11A,380020,210935,388133,217698
LM683,M5 between M5 J11A and M5 J12 (LM683),M5 J11A,M5 J12,388164,217702,380117,211008
LM684,M5 between M5 J11A and M5 J11 (LM684),M5 J11A,M5 J11,388133,217698,389674,221232
LM685,M5 between M5 J11 and M5 J11A (LM685),M5 J11,M5 J11A,389691,221251,388164,217702
LM686,M5 between M5 J13 and M5 J12 (LM686),M5 J13,M5 J12,377786,206796,380020,210935
LM687,M5 between M5 J12 and M5 J13 (LM687),M5 J12,M5 J13,380117,211008,377864,206863
LM688,M5 between M5 J14 and M5 J13 (LM688),M5 J14,M5 J13,368799,193211,377786,206796
LM689,M5 between M5 J13 and M5 J14 (LM689),M5 J13,M5 J14,377864,206863,368813,193200
LM69,A194(M) between A195 and A184 (LM69),A195,A184,430251,560013,431109,561309
LM690,M5 between M5 J15 and M5 J14 (LM690),M5 J15,M5 J14,361783,183762,368799,193211
LM691,M5 between M5 J14 and M5 J15 (LM691),M5 J14,M5 J15,368813,193200,361806,183751
LM692,M5 between M5 J16 and M5 J15 (LM692),M5 J16,M5 J15,360649,183284,361783,183762
LM693,M5 between M5 J15 and M5 J16 (LM693),M5 J15,M5 J16,361806,183751,360732,183307
LM694,M5 between M5 J17 and M5 J16 (LM694),M5 J17,M5 J16,357733,181247,360649,183284
LM695,M5 between M5 J16 and M5 J17 (LM695),M5 J16,M5 J17,360732,183307,357816,181259
LM696,M5 between M5 J18A and M5 J17 (LM696),M5 J18A,M5 J17,353287,178324,357733,181247
LM697,M5 between M5 J17 and M5 J18A (LM697),M5 J17,M5 J18A,357816,181259,353743,178657
LM698,M5 between M5 J18 and M5 J18A (LM698),M5 J18,M5 J18A,352941,178049,353287,178324
LM699,M5 between M5 J18A and M5 J18 (LM699),M5 J18A,M5 J18,353743,178657,352951,178033
LM7,A1(M) between A1(M) J16 and A1(M) J15 (LM7),A1(M) J16,A1(M) J15,515920,290807,517295,284370
LM70,A194(M) between A184 and A195 (LM70),A184,A195,431132,561300,430342,560094
LM700,M5 between M5 J19 and M5 J18 (LM700),M5 J19,M5 J18,350591,175610,352941,178049
LM701,M5 between M5 J18 and M5 J19 (LM701),M5 J18,M5 J19,352951,178033,350755,175630
LM702,M5 between M5 J20 and M5 J19 (LM702),M5 J20,M5 J19,341737,170609,350591,175610
LM703,M5 between M5 J19 and M5 J20 (LM703),M5 J19,M5 J20,350755,175630,341869,170778
LM704,M5 between M5 J21 and M5 J20 (LM704),M5 J21,M5 J20,337862,162520,341737,170609
LM705,M5 between M5 J20 and M5 J21 (LM705),M5 J20,M5 J21,341869,170778,337902,162632
