LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1546,A19 between A1027 and A689 (AL1546),A1027,A689,445072,522601,444633,526024
AL1548,A19 between A689 and A1027 (AL1548),A689,A1027,444702,526128,445035,522712
AL154B,A5 between M42 J10 and A51 (AL154B),M42 J10,A51,424298,300570,420061,303012
AL1557,A19 between A181 and A179 (AL1557),A181,A179,441048,538287,444203,534272
AL1559,A19 between A179 and A181 (AL1559),A179,A181,444190,534272,441035,538286
AL1564,A19 between A181 and A1086 (AL1564),A181,A1086,441035,538286,441069,543229
AL1565,A19 between A1086 and A181 (AL1565),A1086,A181,441141,543103,441048,538287
AL1566,A19 between A1086 and A182 (AL1566),A1086,A182,441069,543229,440845,544000
AL1567,A19 between A182 and A1086 (AL1567),A182,A1086,440861,544000,441141,543103
AL1569,A19 between A182 and A182 (AL1569),A182,A182,441035,546658,440861,544000
AL1572,A19 between A1018 and A182 (AL1572),A1018,A182,439906,550351,441035,546658
AL1574,A19 between A182 and A1018 (AL1574),A182,A1018,441024,546652,439883,550356
AL1577,A19 between A690 and A1018 (AL1577),A690,A1018,435608,552418,439906,550351
AL1579,A19 between A1018 and A690 (AL1579),A1018,A690,439883,550356,435675,552319
AL158,A5 between A453 and A51 (AL158),A453,A51,418509,302767,420048,303022
AL1582,A19 between A690 and A183 (AL1582),A690,A183,435675,552319,434836,555196
AL1587,A19 between A183 and A1231 (AL1587),A183,A1231,434836,555196,434660,557246
AL1588,A19 between A1231 and A183 (AL1588),A1231,A183,434671,557250,434847,555195
AL159,A5 between A51 and A453 (AL159),A51,A453,420061,303012,418629,302773
AL1596,A19 between A1290 and A184 (AL1596),A1290,A184,434156,559861,433792,560864
AL1598,A19 between A184 and A1290 (AL1598),A184,A1290,433844,560974,434166,559868
AL16,A303 between A342 and A343 (AL16),A342,A343,433837,145784,434516,144782
AL1604,A19 between A193 and A1058 (AL1604),A193,A1058,432950,567374,432230,568335
AL1605,A19 between A1058 and A193 (AL1605),A1058,A193,432185,568466,432967,567381
AL1607,A19 between A1058 and A191 (AL1607),A1058,A191,432230,568335,430557,570615
AL1609,A19 between A191 and A1058 (AL1609),A191,A1058,430567,570621,432185,568466
AL1611,A19 between A191 and A1056 (AL1611),A191,A1056,430557,570615,428749,572447
AL1613,A19 between A1056 and A191 (AL1613),A1056,A191,428760,572452,430567,570621
AL1616B,A19 between A1056 and A189 (AL1616B),A1056,A189,428749,572447,427070,574586
AL1617B,A19 between A189 and A1056 (AL1617B),A189,A1056,426956,574668,428760,572452
AL1620,A1 between A167 and A69 (AL1620),A167,A69,420546,566814,419725,565663
AL1621,A1 between A69 and A167 (AL1621),A69,A167,419681,565607,420494,566761
AL1625,A174 between A171 and A172 (AL1625),A171,A172,453463,516724,451692,515605
AL1627,A174 between A172 and A171 (AL1627),A172,A171,451681,515618,453457,516735
AL1633,A52 between A6005 and A453 (AL1633),A6005,A453,455057,338441,455927,337224
AL1638A,A5148 between A5 and A38 (AL1638A),A5,A38,411330,305953,412548,307196
AL1639A,A5148 between A38 and A5 (AL1639A),A38,A5,412606,307309,411396,305779
AL1640,A20 between M25 J3 and A20 (AL1640),M25 J3,A20,552162,167883,549942,169902
AL1641,A20 between A20 and M25 J3 (AL1641),A20,M25 J3,549559,169906,552351,167889
AL1644,A13 between M25 J30 and A1306 (AL1644),M25 J30,A1306,557585,180062,554830,180236
AL1645,A13 between A1306 and M25 J30 (AL1645),A1306,M25 J30,554822,180256,557565,180074
AL1649,A1 between A14 J21 and A428 (AL1649),A14 J21,A428,519442,271996,516596,258099
AL1657,A303 between A34 and M3 (AL1657),A34,M3,446281,141976,455199,144689
AL1661,A45 between A46 and A46 (AL1661),A46,A46,436489,275721,434103,275640
AL1668,A3 between A3(M) J1 and A272 (AL1668),A3(M) J1,A272,470521,114185,473502,123689
AL1670,A3 between A272 and A3(M) J1 (AL1670),A272,A3(M) J1,473516,123755,470536,114137
AL1674,A3 between A272 and A272 (AL1674),A272,A272,473502,123689,475146,124945
AL1675,A3 between A272 and A272 (AL1675),A272,A272,475158,124936,473516,123755
AL1676,A3 between A31 and A283 (AL1676),A31,A283,496368,148487,494293,143057
AL1678,A3 between A283 and A31 (AL1678),A283,A31,494274,143065,496352,148491
AL1687,A3 between A320 and A322 (AL1687),A320,A322,499793,150951,498640,150762
AL1688,A3 between A322 and A320 (AL1688),A322,A320,498638,150771,499781,150969
AL1689,A3 between A3100 and A320 (AL1689),A3100,A320,501266,152634,499793,150951
AL1690,A3 between A320 and A3100 (AL1690),A320,A3100,499781,150969,501246,152653
AL1693,A3 between A3100 and A247 (AL1693),A3100,A247,502262,152976,504024,154418
AL1694,A3 between A247 and A3100 (AL1694),A247,A3100,504031,154404,502213,152935
AL1697,A3 between A244 and A245 (AL1697),A244,A245,514197,162381,509682,160723
AL1698,A3 between A245 and A244 (AL1698),A245,A244,509575,160672,514027,162350
AL1699,A3 between A309 and A244 (AL1699),A309,A244,517425,165330,514197,162381
AL17,A303 between A3057 and A343 (AL17),A3057,A343,436369,144056,434507,144769
AL1700,A3 between A244 and A309 (AL1700),A244,A309,514027,162350,517392,165332
AL1701,A3 between A309 and A423 (AL1701),A309,A423,517392,165332,518124,165383
AL1702,A3 between A423 and A309 (AL1702),A423,A309,518122,165375,517425,165330
AL1705,A3 between A3100 and A3100 (AL1705),A3100,A3100,502213,152935,501266,152634
AL1706,A3 between A3100 and A3100 (AL1706),A3100,A3100,501246,152653,502262,152976
AL1707,A27 between A3(M) J5 and A2030 (AL1707),A3(M) J5,A2030,469576,105585,467535,104349
